gene id,name,3018_5139jL11HMBYSc6ab35_15_8_rem_of_zooids_StageA1to2,2372_5432b1_zooid_naive_stageAtoB,HISeq-Sample_944axbyd196-10,Hm9axByd196.6_4_219_2,2061_L11HMBY15xSC6ab_24_2_zooids,HISeq-Sample_bot_cDNA_15,2336_5139jL11HMBYSc6ab_15_9_vs_944axBYd196_6_4_101,2619_chimera_5432b_vs_5423b_zooid_StageA2,2626_chimera_5432b_vs_5423b_zooid_StageA2,2627_chimera_5432b_vs_5423b_zooid_StageA2,2662_HM9axBYd196_6_4_202_vs_944axBYd196_6_4_103,2390_chimera_L11HM9abld196_4_15_93_vs_944axbyd196_6_4_zooid_without_test,3562_5606b_vs_L11HMBY15xSC6ab_24_6
BHF,BHF,470,464,742,627,82,2073,238,423,444,258,173,447,483
g1.t1,g1,2,14,0,37,0,0,0,0,0,2,0,0,2
g10.t1,g10,0,0,0,4,2,0,0,0,0,0,0,0,0
g100.t1,Klhl10,14,30,10,24,8,139,34,42,24,22,20,76,24
g1000.t1,WDR19,130,34,6,24,66,40,39,90,52,74,56,81,139
g10000.t1,g10000,54,36,39,58,12,203,27,75,4,24,36,108,77
g10001.t1,g10001,18,0,0,0,109,15,0,8,6,0,0,0,33
g10002.t1,g10002,32,0,8,12,0,26,28,36,12,46,24,25,12
g10003.t1,Tspan13,18,28,21,30,118,52,12,128,24,53,51,73,89
g10004.t1,g10004,0,0,0,0,0,0,0,0,0,0,0,0,0
g10005.t1,g10005,2,0,0,0,0,6,0,0,0,0,0,0,0
g10006.t1,Xrn1,22,10,8,14,8,19,10,33,14,24,23,36,44
g10007.t1,g10007,20,2,11,14,56,30,29,54,24,42,58,79,68
g10008.t1,g10008,6,6,6,26,0,115,0,6,4,0,26,36,2
g10009.t1,g10009,73,12,2,4,4,102,0,17,12,2,4,36,3
g1001.t1,g1001,282,152,53,211,188,531,114,63,52,56,102,216,99
g10010.t1,g10010,0,0,0,0,0,0,0,1,0,0,0,0,0
g10011.t1,g10011,18,0,0,0,0,0,0,0,0,0,0,0,2
g10012.t1,Lrrc56,174,36,24,20,14,89,76,57,24,48,37,112,106
g10013.t1,g10013,2,6,6,12,8,30,12,44,34,23,24,76,22
g10014.t1,g10014,70,64,5,79,69,83,26,42,14,41,34,99,80
g10015.t1,FCN1,8,0,0,0,0,14,2,0,0,1,2,10,4
g10016.t1,g10016,24,0,0,2,0,19,0,7,2,0,2,26,0
g10017.t1,g10017,20,6,2,0,0,34,4,8,4,15,4,12,18
g10018.t1,ABCB7,72,28,22,62,92,75,33,166,18,88,39,139,86
g10019.t1,g10019,0,0,0,0,0,6,5,9,2,9,0,0,2
g1002.t1,SLC25A10,48,8,18,54,112,41,14,26,14,18,42,51,38
g10020.t1,g10020,96,109,125,65,144,393,187,469,48,301,385,552,343
g10021.t1,Lhcgr,80,32,2,57,0,107,6,28,20,19,2,36,16
g10022.t1,g10022,6,2,0,3,2,8,0,9,0,3,2,2,16
g10023.t1,g10023,18,2,0,4,0,10,0,0,0,2,0,16,5
g10024.t1,g10024,2,0,0,0,2,0,2,0,0,0,0,8,2
g10025.t1,g10025,0,0,0,1,4,0,0,0,8,0,0,0,2
g10026.t1,ZNF224,0,0,6,2,8,2,2,0,0,0,30,0,6
g10027.t1,ZNF836,0,0,6,0,4,10,0,0,0,0,4,0,6
g10028.t1,g10028,0,0,0,0,4,2,0,0,0,0,0,4,0
g10029.t1,MOXD1,248,254,374,226,22,631,63,494,250,490,187,285,209
g1003.t1,g1003,10,6,10,8,4,46,0,98,22,19,24,64,35
g10030.t1,g10030,0,18,0,0,0,0,0,0,0,0,0,0,0
g10031.t1,g10031,82,35,2,32,15,71,17,54,21,46,23,135,72
g10032.t1,g10032,19,8,4,4,6,4,0,0,6,9,0,26,8
g10033.t1,g10033,36,18,2,6,6,622,6,36,30,48,4,0,0
g10034.t1,g10034,49,60,10,18,14,27,18,111,24,61,31,146,48
g10035.t1,Myo1c,785,336,148,245,148,357,227,566,344,397,346,638,600
g10036.t1,CNTNAP2,108,232,158,49,125,291,32,286,192,491,66,227,118
g10037.t1,g10037,100,11,19,10,0,59,59,76,12,19,53,138,70
g10038.t1,g10038,8,4,5,1,25,14,0,8,3,8,6,0,7
g10039.t1,g10039,138,92,63,110,28,511,100,212,36,103,133,242,140
g1004.t1,g1004,98,12,15,24,0,26,17,55,14,14,33,124,64
g10040.t1,g10040,18,18,1,30,6,22,13,58,4,36,22,25,16
g10041.t1,CYP3A5,114,118,122,106,28,128,10,149,68,94,58,92,72
g10042.t1,g10042,38,26,12,14,16,42,25,35,8,20,16,40,44
g10043.t1,g10043,140,22,18,16,14,66,15,52,14,86,24,110,96
g10044.t1,g10044,10,0,7,4,1,6,11,20,4,19,13,14,17
g10045.t1,Acox1,14,0,53,16,12,48,6,32,12,10,4,25,31
g10046.t1,g10046,18,6,8,2,10,12,12,12,6,0,4,6,16
g10047.t1,DECR2,16,10,16,10,22,1,2,37,4,8,23,8,44
g10048.t1,g10048,8,14,6,8,11,37,8,26,18,12,32,40,42
g10049.t1,g10049,2,0,0,0,0,4,0,0,0,0,0,0,0
g1005.t1,198419728,58,33,40,86,13,181,70,36,14,10,24,48,18
g10050.t1,g10050,0,0,0,4,11,2,0,0,0,4,0,0,4
g10051.t1,AIFM1,66,83,159,66,129,442,54,306,56,86,104,84,184
g10052.t1,Ttn,716,56,25,22,10,503,6,276,110,186,55,277,77
g10053.t1,g10053,53,22,8,27,6,106,20,30,18,30,21,98,30
g10054.t1,198421114,50,36,88,2,0,181,57,257,80,100,60,188,69
g10055.t1,g10055,4,20,0,2,4,3,0,4,2,6,4,1,2
g10056.t1,g10056,8,16,0,2,3,3,0,4,0,0,0,4,0
g10057.t1,g10057,2,36,0,6,0,2,2,14,0,9,6,6,2
g10058.t1,g10058,123,101,19,59,29,209,107,142,47,72,72,186,111
g10059.t1,198433176,24,102,27,16,110,120,2,133,38,72,55,22,39
g1006.t1,g1006,190,16,9,219,16,141,16,92,40,27,34,439,126
g10060.t1,g10060,0,0,0,4,0,2,0,0,2,0,0,8,0
g10061.t1,g10061,4,0,2,8,0,18,4,40,6,2,24,14,24
g10062.t1,g10062,12,14,0,5,4,15,8,9,4,19,6,39,21
g10063.t1,g10063,0,0,0,2,4,0,0,0,0,0,0,0,1
g10064.t1,g10064,235,74,27,96,48,219,68,186,46,134,88,326,182
g10065.t1,g10065,1624,1095,266,240,378,282,445,1103,742,546,548,1164,907
g10066.t1,RBM26,1144,899,164,1017,1351,943,408,810,326,516,771,913,744
g10067.t1,PRDM10,490,208,211,279,107,435,332,324,68,237,389,496,418
g10068.t1,CNTN4,8,8,141,101,62,171,0,38,22,10,8,8,14
g10069.t1,Slco4a1,160,40,6,18,4,58,26,84,42,65,58,68,26
g1007.t1,g1007,88,0,8,75,2,136,0,0,2,0,0,99,24
g10070.t1,g10070,36,2,0,14,4,11,11,10,11,18,22,38,16
g10071.t1,g10071,12,8,0,0,0,0,0,13,2,0,0,2,1
g10072.t1,Sh2b3,184,181,46,80,69,119,69,194,155,73,53,150,234
g10073.t1,UBA5,4,8,10,11,58,0,1,3,0,5,16,14,80
g10074.t1,g10074,0,2,0,2,0,0,0,4,2,18,4,6,0
g10075.t1,FAM154B,62,46,22,4,0,14,37,118,30,33,73,112,179
g10076.t1,g10076,101,58,13,29,48,63,52,186,70,92,31,178,123
g10077.t1,ZDHHC17,67,77,2,31,20,2,24,20,8,34,54,22,73
g10078.t1,g10078,10,24,8,21,2,6,4,48,8,14,2,38,30
g10079.t1,g10079,42,75,9,6,16,16,0,108,44,40,29,82,55
g1008.t1,g1008,30,0,0,6,2,11,0,4,0,2,2,14,8
g10080.t1,g10080,18,4,0,16,2,21,8,40,10,14,25,78,34
g10081.t1,CMPK2,38,18,22,27,22,80,8,52,18,8,33,81,40
g10082.t1,FRMPD4,554,553,51,94,121,201,375,913,390,685,192,683,958
g10083.t1,198430397,446,342,81,150,106,323,72,291,92,246,235,405,235
g10084.t1,g10084,0,0,0,0,0,2,0,0,0,0,0,0,0
g10085.t1,g10085,0,0,0,0,0,2,0,0,0,0,0,0,0
g10086.t1,g10086,4,2,0,8,57,0,6,8,8,10,6,18,12
g10087.t1,g10087,2,0,0,0,0,0,0,6,0,0,0,0,0
g10088.t1,g10088,0,0,0,0,0,0,0,0,0,2,0,0,0
g10089.t1,MED20,2,12,0,4,14,0,0,26,0,8,20,8,14
g1009.t1,g1009,0,0,12,28,4,50,0,0,0,0,0,0,0
g10090.t1,Copb1,420,204,126,130,205,170,155,265,158,203,256,510,525
g10091.t1,g10091,20,8,0,0,4,5,10,4,0,0,2,6,6
g10092.t1,Unc79,34,131,18,34,10,112,10,36,14,12,28,42,22
g10093.t1,WDTC1,42,16,8,16,42,197,22,44,6,22,40,131,56
g10094.t1,MCOLN3,50,34,78,36,36,242,24,173,46,48,122,298,197
g10095.t1,g10095,16,4,14,21,41,140,24,62,16,26,34,45,80
g10096.t1,g10096,68,32,4,14,4,37,8,12,0,8,8,69,24
g10097.t1,g10097,0,6,0,0,0,0,0,0,0,0,0,0,0
g10098.t1,g10098,114,223,12,46,36,26,58,185,62,36,27,284,107
g10099.t1,g10099,4,2,0,0,4,4,2,0,0,4,1,2,2
g101.t1,g101,0,6,0,2,0,2,0,0,4,2,0,2,20
g1010.t1,ZNF160,4,0,0,0,0,18,0,39,6,27,0,16,0
g10100.t1,g10100,4,6,26,10,0,24,4,0,6,1,0,0,0
g10101.t1,g10101,10,0,4,0,2,19,4,11,12,6,3,36,12
g10102.t1,g10102,6,0,0,8,0,15,0,2,0,0,0,2,4
g10103.t1,C20orf118,2,0,2,6,4,20,4,0,0,2,12,27,8
g10104.t1,Fam160b1,116,62,18,45,131,64,25,129,83,103,14,68,76
g10105.t1,NTAN1,14,10,2,0,12,8,6,8,6,9,12,34,14
g10106.t1,g10106,0,0,0,4,10,9,0,3,16,12,0,12,12
g10107.t1,g10107,2,2,0,2,2,14,2,0,0,0,2,0,6
g10108.t1,g10108,116,58,18,49,15,127,55,127,28,91,58,235,172
g10109.t1,g10109,10,56,0,0,2,57,0,88,28,86,14,32,34
g1011.t1,EFHC1,2128,915,113,83,33,222,708,1953,595,1227,514,1031,1034
g10110.t1,g10110,12,39,0,0,4,8,0,28,10,19,2,4,16
g10111.t1,TTC4,43,6,5,16,33,31,6,28,4,10,20,28,26
g10112.t1,g10112,16,32,0,0,2,2,32,24,20,18,10,29,16
g10113.t1,g10113,2,6,0,2,2,8,0,11,0,10,2,18,18
g10114.t1,g10114,12,2,2,0,0,4,0,3,0,0,0,2,3
g10115.t1,g10115,0,0,0,0,0,2,0,2,0,2,0,2,6
g10116.t1,g10116,22,2,2,0,0,6,2,1,1,2,6,38,32
g10117.t1,g10117,0,0,0,2,0,5,0,2,0,0,0,0,0
g10118.t1,g10118,0,20,5,6,0,26,4,0,2,10,2,6,4
g10119.t1,g10119,0,0,2,0,0,2,0,0,0,0,0,0,0
g1012.t1,g1012,53,1,1,2,3,7,3,16,4,6,8,36,19
g10120.t1,g10120,0,0,0,0,0,0,0,0,0,0,0,0,2
g10121.t1,g10121,18,0,0,0,0,0,2,4,6,8,0,19,8
g10122.t1,g10122,54,4,0,6,2,28,4,7,4,2,4,11,4
g10123.t1,g10123,0,0,0,0,0,0,2,0,0,0,0,0,0
g10124.t1,g10124,22,46,6,6,14,6,6,19,14,28,4,16,5
g10125.t1,g10125,10,0,2,0,0,53,0,5,2,0,18,53,2
g10126.t1,g10126,8,4,2,4,4,25,0,4,6,3,2,2,10
g10127.t1,g10127,4,0,6,2,0,5,1,2,2,4,1,3,1
g10128.t1,g10128,10,8,6,12,4,53,7,5,9,8,0,14,21
g10129.t1,g10129,50,4,0,2,0,18,5,22,8,15,14,120,20
g1013.t1,TP63,4,18,4,8,72,24,8,6,4,0,25,22,12
g10130.t1,SLC15A2,10,0,4,4,0,8,2,27,4,8,4,8,2
g10131.t1,g10131,18,12,8,16,22,26,4,72,22,10,29,67,61
g10132.t1,HARBI1,14,6,0,1,0,6,0,6,2,6,0,6,15
g10133.t1,HARBI1,12,12,0,13,4,32,0,11,0,0,6,20,15
g10134.t1,g10134,36,10,0,2,2,28,5,18,4,15,4,34,24
g10135.t1,g10135,2,0,0,0,0,6,0,0,2,0,0,6,0
g10136.t1,g10136,6,2,34,8,13,31,6,28,10,8,15,6,10
g10137.t1,g10137,10,30,13,12,8,84,18,54,4,20,14,38,34
g10138.t1,g10138,2,8,0,0,2,4,0,6,0,0,0,4,3
g10139.t1,g10139,0,0,0,6,0,0,0,2,0,0,0,2,4
g1014.t1,g1014,0,0,15,4,0,4,0,2,0,0,0,0,0
g10140.t1,g10140,36,2,44,8,0,138,30,47,12,23,30,136,53
g10141.t1,Pkhd1l1,70,38,11,22,2,28,4,36,10,14,14,31,34
g10142.t1,g10142,0,8,8,4,14,6,5,6,4,6,5,9,4
g10143.t1,g10143,0,0,0,0,0,0,0,0,0,0,0,0,0
g10144.t1,g10144,44,6,2,8,6,6,8,60,18,32,14,51,61
g10145.t1,g10145,0,0,0,0,0,0,0,0,0,0,0,2,0
g10146.t1,g10146,2,0,0,2,0,2,2,2,0,0,0,0,2
g10147.t1,Acvr1c,78,196,28,61,75,112,12,190,64,141,38,88,89
g10148.t1,g10148,0,0,0,0,6,0,0,4,0,0,0,0,0
g10149.t1,ADAM10,40,137,28,34,24,85,6,400,52,83,27,104,94
g1015.t1,Gstm1,62,30,200,12,6,100,30,146,22,62,40,128,78
g10150.t1,g10150,16,2,2,6,4,4,8,13,4,4,0,4,9
g10151.t1,NAA35,124,46,95,32,158,244,83,168,56,104,75,146,135
g10152.t1,g10152,0,0,0,2,0,0,0,0,0,2,0,0,2
g10153.t1,Fbxl20,233,79,22,56,70,88,106,394,158,116,60,327,254
g10154.t1,Trabd,108,54,60,45,99,260,38,151,44,72,40,82,152
g10155.t1,DDX41,54,108,14,56,52,48,2,115,36,32,20,48,63
g10156.t1,DHX9,67,97,39,25,111,112,24,124,60,93,55,38,123
g10157.t1,PRKG1,2,14,3,4,3,17,4,61,4,33,10,28,38
g10158.t1,g10158,0,4,0,0,0,2,0,0,2,0,0,0,0
g10159.t1,Fhod3,262,195,15,116,77,133,135,185,78,137,48,117,127
g1016.t1,g1016,196,192,210,48,143,479,160,375,183,287,108,370,417
g10160.t1,Loxhd1,222,97,194,23,20,179,58,492,142,239,138,497,685
g10161.t1,g10161,2,0,0,0,0,0,0,0,0,2,0,1,0
g10162.t1,g10162,87,190,61,91,48,112,43,261,88,190,183,192,166
g10163.t1,g10163,748,472,19,25,12,63,147,550,220,255,92,516,330
g10164.t1,g10164,0,0,0,0,0,2,0,0,0,0,0,0,0
g10165.t1,g10165,12,14,17,11,6,38,4,13,4,3,19,4,30
g10166.t1,Arnt,56,44,54,52,0,84,16,98,56,24,36,54,48
g10167.t1,Zfp26,14,2,10,18,14,46,6,22,0,7,59,29,54
g10168.t1,198434952,651,139,101,52,2,1188,136,539,220,365,52,563,391
g10169.t1,g10169,2,19,0,0,0,10,0,2,2,0,0,2,0
g1017.t1,g1017,8,2,0,0,0,3,0,8,6,0,0,8,2
g10170.t1,g10170,6,6,0,0,0,10,0,2,0,4,2,17,0
g10171.t1,g10171,33,20,9,8,12,151,16,28,10,19,10,24,15
g10172.t1,g10172,20,0,5,16,8,11,9,22,6,4,12,10,20
g10173.t1,g10173,14,23,0,4,1,6,0,0,0,2,2,23,4
g10174.t1,g10174,2,0,0,0,0,0,0,0,0,0,0,2,0
g10175.t1,g10175,66,16,14,33,17,167,10,56,6,36,55,371,116
g10176.t1,g10176,2,0,0,0,0,4,0,0,0,0,0,0,0
g10177.t1,DAPP1,86,34,41,15,2,104,39,79,38,21,39,128,124
g10178.t1,g10178,2,2,2,4,0,54,4,4,3,4,0,10,2
g10179.t1,g10179,8,6,1,12,10,5,13,27,0,11,12,11,48
g1018.t1,g1018,288,352,336,85,169,1134,163,514,260,245,79,363,370
g10180.t1,ZNF492,2,0,0,0,0,6,0,0,0,2,0,28,0
g10181.t1,Zfp112,2,2,0,2,2,6,0,8,0,4,6,0,2
g10182.t1,g10182,840,201,26,286,362,177,180,582,282,307,139,446,569
g10183.t1,g10183,151,35,12,18,20,69,49,129,24,96,48,148,86
g10184.t1,g10184,0,4,0,0,0,4,0,10,0,0,0,0,0
g10185.t1,g10185,0,4,0,6,2,14,0,26,9,12,4,12,10
g10186.t1,g10186,14,22,6,14,12,79,4,21,2,6,7,14,12
g10187.t1,Ube2h,30,46,46,28,14,65,6,112,56,50,16,60,64
g10188.t1,g10188,13,14,0,2,6,10,2,22,2,15,4,15,8
g10189.t1,g10189,12,2,24,4,2,67,0,2,0,8,4,2,2
g1019.t1,RBM38,116,104,24,22,131,63,127,438,174,151,66,330,634
g10190.t1,NLRC5,138,58,52,104,18,81,49,222,28,115,68,149,113
g10191.t1,Pol,234,77,22,109,110,301,95,46,18,36,72,103,65
g10192.t1,g10192,166,43,14,14,32,100,38,57,27,44,23,101,57
g10193.t1,ZMYM6,0,4,0,2,0,22,0,0,0,0,2,0,2
g10194.t1,g10194,49,35,5,29,16,78,28,85,20,61,56,118,88
g10195.t1,g10195,34,37,38,9,22,29,14,36,30,35,9,14,28
g10196.t1,145046208,74,36,2,20,570,121,19,70,53,0,10,4,186
g10197.t1,g10197,226,132,71,147,1834,1491,141,281,179,14,50,0,589
g10198.t1,g10198,10,0,0,10,4,4,0,0,2,0,0,11,0
g10199.t1,g10199,12,43,0,6,8,4,2,44,42,12,2,2,32
g102.t1,SELL,2,4,0,12,4,2,0,12,4,2,2,12,5
g1020.t1,g1020,14,0,12,0,0,12,2,26,4,6,18,12,2
g10200.t1,MAP1A,80,112,12,29,46,33,24,206,58,60,29,38,104
g10201.t1,g10201,2,3,2,0,0,2,2,15,0,4,0,0,0
g10202.t1,g10202,30,2,0,2,4,62,0,2,0,2,0,2,0
g10203.t1,g10203,30,8,0,4,4,0,4,83,34,28,6,18,60
g10204.t1,g10204,38,54,2,0,6,2,2,33,31,10,11,73,41
g10205.t1,CHSY1,176,78,85,46,74,345,42,158,144,161,42,277,128
g10206.t1,FUT8,61,6,2,4,2,6,9,26,2,27,1,6,12
g10207.t1,Iba57,0,0,0,0,0,2,0,0,0,2,0,0,2
g10208.t1,g10208,14,6,48,4,2,22,15,58,2,18,12,24,36
g10209.t1,g10209,280,184,73,24,0,73,67,353,81,273,204,351,387
g1021.t1,g1021,2,0,0,0,0,0,4,0,2,0,2,1,0
g10210.t1,g10210,12,2,1,2,0,51,12,41,32,96,16,60,174
g10211.t1,g10211,24,6,0,4,0,4,0,6,2,0,6,10,0
g10212.t1,g10212,172,76,30,6,0,18,44,166,26,68,55,209,60
g10213.t1,g10213,24,26,4,6,5,53,6,40,8,26,4,24,22
g10214.t1,g10214,300,173,36,169,163,306,141,333,58,227,196,343,346
g10215.t1,g10215,53,24,10,28,33,71,21,49,16,32,44,72,32
g10216.t1,g10216,141,68,46,22,0,72,22,408,98,142,68,380,199
g10217.t1,g10217,0,6,0,0,0,0,0,0,2,0,0,16,0
g10218.t1,g10218,24,24,0,5,2,62,4,27,8,24,4,28,24
g10219.t1,ANXA1,120,126,34,40,36,167,43,175,36,111,69,120,137
g1022.t1,g1022,1110,338,242,237,219,723,273,750,350,411,342,684,816
g10220.t1,g10220,0,0,18,4,0,0,0,0,0,0,3,5,0
g10221.t1,g10221,131,126,20,88,38,176,86,164,61,115,63,177,124
g10222.t1,g10222,120,42,11,6,0,28,31,83,56,78,13,54,84
g10223.t1,CYP2U1,104,92,2,7,4,12,15,97,66,56,0,13,24
g10224.t1,g10224,0,0,0,0,0,2,0,1,0,2,0,0,0
g10225.t1,g10225,0,0,0,0,0,0,0,0,0,0,0,0,0
g10226.t1,g10226,14,8,4,8,4,42,10,26,7,13,2,30,19
g10227.t1,FIBCD1,18,7,11,27,0,71,18,61,14,42,6,22,2
g10228.t1,g10228,250,267,51,179,138,104,76,632,210,484,224,510,510
g10229.t1,g10229,567,599,46,141,115,263,269,757,482,600,199,791,671
g1023.t1,g1023,279,199,188,271,541,852,81,158,72,119,286,258,265
g1023.t2,g1023,57,60,24,34,117,167,10,46,20,32,46,68,34
g10230.t1,g10230,4,6,0,2,0,9,2,6,2,4,0,11,0
g10231.t1,g10231,14,2,4,0,0,26,0,0,0,4,6,14,2
g10232.t1,Grpel1,38,54,50,32,164,139,4,65,20,24,112,121,129
g10233.t1,ATP5B,1006,879,222,349,684,308,189,1589,464,911,492,1118,976
g10234.t1,g10234,0,0,0,0,2,0,0,0,0,0,0,0,2
g10235.t1,g10235,66,4,17,9,28,18,5,56,40,37,64,156,137
g10236.t1,g10236,0,0,0,0,0,0,0,0,0,0,0,0,0
g10237.t1,g10237,6,4,0,0,0,2,0,15,6,6,0,2,0
g10238.t1,Kifc1,32,26,0,39,99,60,0,37,64,16,33,14,60
g10239.t1,g10239,60,66,0,44,32,40,40,94,20,30,51,114,91
g1024.t1,g1024,16,10,26,86,4,46,2,40,28,44,21,48,18
g10240.t1,Rnf213,14,6,11,15,0,32,4,19,2,11,10,8,2
g10241.t1,RNF213,64,45,49,29,10,252,13,69,32,42,6,64,51
g10242.t1,POLE,16,10,8,11,122,141,0,26,34,6,2,24,44
g10243.t1,g10243,68,56,21,20,14,86,15,32,14,22,45,104,43
g10244.t1,123438677,522,193,74,58,0,446,130,567,186,434,141,910,719
g10245.t1,g10245,2,0,0,0,0,4,0,0,0,0,0,2,6
g10246.t1,g10246,0,0,2,2,0,0,0,0,0,6,6,30,28
g10247.t1,g10247,19,0,22,17,2,139,13,18,4,20,28,30,79
g10248.t1,g10248,0,0,3,4,10,21,0,2,7,2,6,6,0
g10249.t1,g10249,2,27,4,14,8,303,2,2,32,8,0,8,4
g1025.t1,g1025,0,0,0,0,0,0,0,8,0,0,0,0,0
g10250.t1,g10250,2,0,2,0,6,6,0,13,2,22,8,31,6
g10251.t1,Chrnb1,0,0,4,0,0,12,6,2,0,2,2,9,2
g10252.t1,g10252,2,0,0,0,0,1,0,2,0,2,2,2,6
g10253.t1,g10253,157,36,19,40,31,114,35,69,22,24,24,112,77
g10254.t1,g10254,57,51,15,36,20,174,41,62,20,49,21,31,44
g10255.t1,g10255,4,8,0,0,0,4,0,14,0,2,0,0,0
g10256.t1,g10256,0,0,0,0,0,0,0,0,0,0,0,0,0
g10257.t1,Hoxc12,28,10,54,96,94,396,0,4,4,0,21,0,4
g10258.t1,g10258,2,0,0,0,0,6,0,0,0,4,0,0,0
g10259.t1,Traf4,38,28,10,3,2,29,6,37,18,11,2,26,36
g1026.t1,HMGXB3,16,42,2,4,0,16,0,31,4,10,2,4,15
g10260.t1,g10260,98,24,2,31,2,110,8,59,24,28,13,89,31
g10261.t1,g10261,6,4,0,0,0,0,0,4,0,0,0,6,12
g10262.t1,g10262,2,0,2,2,0,6,0,6,0,0,0,6,4
g10263.t1,g10263,2,23,2,0,0,2,0,0,2,0,0,0,0
g10264.t1,g10264,2,0,0,0,0,0,0,0,2,0,1,0,0
g10265.t1,g10265,0,6,0,0,0,10,0,6,4,2,0,0,0
g10266.t1,g10266,100,45,27,38,30,329,44,121,14,42,31,137,81
g10267.t1,g10267,122,52,43,102,49,297,77,128,35,101,197,296,240
g10268.t1,g10268,0,0,0,0,0,2,0,4,0,0,0,0,0
g10269.t1,g10269,95,47,14,24,13,58,23,66,47,56,51,147,123
g1027.t1,g1027,0,0,0,0,0,0,0,2,1,0,0,0,0
g10270.t1,Pxdn,0,22,0,0,0,0,0,64,24,14,2,0,0
g10271.t1,g10271,0,0,0,0,0,4,0,0,0,0,0,0,2
g10272.t1,g10272,0,0,0,2,0,0,0,2,0,2,0,0,0
g10273.t1,g10273,12,0,2,0,0,3,2,13,0,8,17,28,19
g10274.t1,USH2A,260,140,14,106,22,77,79,376,227,174,157,555,446
g10275.t1,Ush2A,24,2,0,4,4,2,1,8,8,6,2,8,12
g10275.t2,Ush2A,46,4,2,6,2,6,22,54,24,9,13,28,36
g10276.t1,g10276,0,0,0,0,0,4,0,0,2,8,0,2,0
g10277.t1,g10277,0,0,2,0,0,0,0,0,0,0,2,0,0
g10278.t1,g10278,6,0,10,12,32,90,0,4,2,4,6,2,14
g10279.t1,g10279,2,0,0,0,0,2,0,0,0,0,0,0,0
g1028.t1,g1028,79,20,3,7,10,57,11,14,14,6,3,81,11
g10280.t1,g10280,74,4,134,93,2,278,26,10,12,10,4,53,19
g10281.t1,FANCM,14,0,2,4,4,8,0,16,4,8,2,26,16
g10282.t1,g10282,14,6,2,0,0,6,2,72,25,14,3,54,68
g10283.t1,Inf2,74,30,25,40,32,47,40,164,44,105,18,56,131
g10284.t1,g10284,0,0,0,0,0,6,0,0,0,0,0,2,0
g10285.t1,g10285,64,30,20,24,18,102,10,29,10,30,18,75,24
g10286.t1,g10286,130,27,7,16,8,58,29,36,36,16,14,41,49
g10287.t1,LIPH,4,0,0,0,6,6,0,16,8,0,0,28,0
g10288.t1,g10288,0,14,0,0,0,6,0,0,2,2,0,0,0
g10289.t1,g10289,20,0,0,0,0,0,2,0,0,0,0,0,0
g1029.t1,g1029,54,18,0,3,9,31,8,26,6,7,4,50,8
g10290.t1,g10290,2,0,0,2,0,1,0,2,0,0,0,3,0
g10291.t1,ITLN2,2,0,3,12,0,8,0,0,0,0,0,0,0
g10292.t1,g10292,12,0,0,0,0,8,0,4,4,2,0,0,12
g10293.t1,g10293,10,10,2,2,0,8,2,20,2,8,5,22,29
g10294.t1,g10294,45,57,11,30,44,99,43,102,23,48,38,135,72
g10295.t1,g10295,0,0,0,0,0,0,0,0,0,0,0,0,0
g10296.t1,g10296,2,0,0,0,0,0,0,8,2,0,6,8,4
g10297.t1,g10297,10,0,2,4,0,11,2,19,0,0,0,6,9
g10298.t1,g10298,16,3,0,0,2,10,6,4,2,1,4,16,4
g10299.t1,g10299,4,0,0,2,0,28,0,6,0,4,7,10,2
g103.t1,STAT5B,64,48,2,12,50,27,41,88,65,66,46,87,106
g1030.t1,CUBN,1618,16,6,23,2,451,180,25,10,22,20,275,27
g1030.t2,CUBN,1767,10,11,14,0,443,190,16,12,36,15,293,32
g1030.t3,CUBN,1621,6,0,14,3,443,186,28,6,26,13,332,25
g10300.t1,g10300,132,73,9,81,48,49,110,95,28,58,75,154,103
g10301.t1,g10301,2,0,0,0,0,0,0,0,0,0,0,0,0
g10302.t1,g10302,0,0,0,0,0,0,0,0,0,0,0,0,0
g10303.t1,C1galt1,2,0,22,4,0,26,0,0,0,0,0,0,0
g10304.t1,g10304,0,0,3,0,0,4,0,0,0,0,0,0,0
g10305.t1,g10305,26,16,3,6,4,37,16,23,10,4,10,44,9
g10306.t1,g10306,0,0,0,0,0,0,0,0,0,0,0,0,0
g10307.t1,ING5,14,2,28,16,20,67,16,63,14,14,37,32,36
g10308.t1,g10308,6,2,2,4,2,20,4,18,0,1,6,17,6
g10309.t1,221113535,16,2,4,18,0,13,6,13,4,12,24,5,16
g1031.t1,g1031,6,2,0,2,0,10,0,0,6,4,0,2,0
g10310.t1,g10310,0,10,4,1,0,15,0,4,0,0,2,33,0
g10311.t1,g10311,10,12,12,6,0,45,6,38,7,30,20,46,46
g10312.t1,g10312,0,0,0,0,0,0,0,0,0,0,0,0,0
g10313.t1,g10313,16,68,20,12,22,54,14,54,11,18,0,23,22
g10314.t1,g10314,0,2,0,0,0,8,0,2,0,4,0,0,2
g10315.t1,g10315,6,6,8,8,48,30,0,18,8,14,6,4,8
g10316.t1,g10316,14,4,9,20,4,90,0,14,4,6,9,40,6
g10317.t1,g10317,26,6,0,2,0,0,20,0,2,2,16,20,6
g10318.t1,Dnmt3a,6,0,0,8,0,10,0,4,2,0,2,0,0
