gene id,name,3018_5139jL11HMBYSc6ab35_15_8_rem_of_zooids_StageA1to2,2372_5432b1_zooid_naive_stageAtoB,HISeq-Sample_944axbyd196-10,Hm9axByd196.6_4_219_2,2061_L11HMBY15xSC6ab_24_2_zooids,HISeq-Sample_bot_cDNA_15,2336_5139jL11HMBYSc6ab_15_9_vs_944axBYd196_6_4_101,2619_chimera_5432b_vs_5423b_zooid_StageA2,2626_chimera_5432b_vs_5423b_zooid_StageA2,2627_chimera_5432b_vs_5423b_zooid_StageA2,2662_HM9axBYd196_6_4_202_vs_944axBYd196_6_4_103,2390_chimera_L11HM9abld196_4_15_93_vs_944axbyd196_6_4_zooid_without_test,3562_5606b_vs_L11HMBY15xSC6ab_24_6
g42606.t1,CD63,141,149,40,14,2,131,52,110,38,123,59,100,101
g42607.t1,HAO2,40,2,26,6,0,2,16,68,26,33,61,48,46
g42608.t1,g42608,15,26,1,15,4,35,2,7,2,10,5,20,8
g42609.t1,Faim,30,12,72,14,22,160,18,135,18,46,24,156,100
g4261.t1,g4261,26,16,6,8,0,24,28,26,20,6,4,60,38
g42610.t1,g42610,18,6,0,12,4,22,2,4,6,7,2,13,5
g42611.t1,g42611,18,8,2,2,2,15,8,9,4,2,4,18,10
g42612.t1,g42612,6,2,0,6,0,6,2,6,0,3,0,16,5
g42613.t1,g42613,0,0,0,0,0,2,0,0,0,0,8,0,0
g42614.t1,198434104,80,28,5,24,2,215,31,20,58,16,28,184,43
g42615.t1,198413858,128,14,8,10,28,32,21,31,10,29,6,17,24
g42616.t1,MMP28,12,2,2,2,2,2,12,84,27,24,0,25,33
g42617.t1,g42617,24,4,0,2,4,0,6,63,24,22,9,14,19
g42618.t1,COMP,4,0,0,0,0,2,0,0,0,0,0,2,4
g42619.t1,g42619,123,66,25,32,6,164,47,118,19,52,49,151,77
g4262.t1,St6galnac4,128,80,12,59,0,42,26,62,40,18,46,72,52
g42620.t1,TSPAN6,110,41,200,18,11,389,8,159,54,124,93,292,125
g42621.t1,g42621,106,20,12,12,0,11,27,107,20,40,43,30,64
g42622.t1,g42622,50,28,2,12,6,78,8,30,6,16,2,36,32
g42623.t1,g42623,2,0,0,2,6,6,0,2,2,0,5,0,0
g42624.t1,g42624,0,2,0,0,0,3,0,0,0,0,0,6,2
g42625.t1,g42625,0,0,0,0,0,0,0,0,0,0,0,0,0
g42626.t1,g42626,0,0,0,0,0,2,0,0,2,0,0,2,0
g42627.t1,g42627,10,2,1,0,0,3,0,0,2,2,0,0,2
g42628.t1,g42628,24,4,0,0,0,6,4,0,0,2,0,16,5
g42629.t1,g42629,28,10,2,2,11,46,16,4,6,8,2,4,6
g4263.t1,g4263,6,26,2,0,0,88,3,34,14,6,8,93,36
g42630.t1,ABCG4,38,38,10,24,40,70,9,53,44,63,18,16,20
g42631.t1,g42631,20,22,8,12,0,74,18,25,6,17,26,60,35
g42632.t1,g42632,94,113,73,47,58,136,38,74,66,43,74,200,88
g42633.t1,g42633,14,12,8,8,3,40,3,26,4,6,12,6,2
g42634.t1,198425955,20,36,30,32,8,40,24,22,14,20,10,16,14
g42635.t1,g42635,447,216,54,201,112,132,109,108,52,129,131,150,185
g42636.t1,g42636,10,2,0,4,0,6,10,18,4,8,2,3,7
g42637.t1,SEMA6B,204,194,43,94,36,111,14,87,48,44,90,76,42
g42637.t2,SEMA6B,234,242,32,88,40,186,20,107,102,68,145,65,96
g42638.t1,Cyp3a16,12,2,2,2,0,16,0,22,0,0,4,2,2
g42639.t1,g42639,4,2,0,0,0,16,6,0,0,0,0,8,0
g4264.t1,g4264,2,0,0,0,0,115,0,0,0,0,0,4,0
g42640.t1,g42640,26,12,2,6,2,16,19,14,10,20,10,47,21
g42641.t1,198421384,36,2,21,14,10,42,10,54,14,24,25,42,50
g42642.t1,g42642,0,0,0,0,0,6,0,4,2,0,0,8,2
g42643.t1,g42643,19,36,0,4,11,31,2,46,8,14,4,30,23
g42644.t1,g42644,4,2,0,0,2,14,0,0,0,0,0,4,2
g42645.t1,g42645,18,0,2,0,0,91,0,2,0,2,0,8,0
g42646.t1,g42646,0,0,0,0,0,0,0,2,0,0,0,0,2
g42647.t1,198418149,10,0,80,14,12,128,6,34,4,26,14,40,44
g42648.t1,Metap2,107,18,116,98,99,320,42,186,76,144,30,109,92
g42649.t1,Hs3st3b1,6,0,4,10,0,8,4,8,0,0,0,12,2
g4265.t1,g4265,52,54,4,20,0,127,10,31,19,22,21,72,37
g42650.t1,Polr3b,27,15,0,4,50,4,6,14,6,11,12,4,6
g42651.t1,POLR3B,48,4,0,26,34,8,0,9,12,23,12,2,4
g42652.t1,g42652,27,14,11,4,2,9,4,18,2,8,2,7,8
g42653.t1,g42653,4,0,0,0,0,0,0,2,2,0,0,0,0
g42654.t1,g42654,53,18,2,8,13,86,36,22,12,19,4,90,26
g42655.t1,g42655,113,24,2,20,12,59,39,43,10,27,12,53,28
g42656.t1,g42656,0,0,0,4,0,0,0,0,0,0,0,2,0
g42657.t1,g42657,6,0,0,0,0,6,2,2,2,0,2,16,3
g42658.t1,g42658,18,8,0,6,0,28,10,4,0,0,0,44,10
g42659.t1,g42659,26,2,0,0,2,2,3,18,4,3,4,41,7
g4266.t1,KLHL12,14,10,9,10,2,44,2,7,2,2,5,2,4
